,SN,ANT,Test_Model,Frequency,Test_Case,Result
0,ResultsLog(1),ANT_1,LTE_ETM1_1,1300,ACLR_L1,51.26
1,ResultsLog(1),ANT_1,LTE_ETM1_1,1300,ACLR_U1,43.33
2,ResultsLog(1),ANT_1,LTE_ETM1_1,1300,TX_MEAN_POWER,44.90
3,ResultsLog(1),ANT_1,LTE_ETM1_1,1325,ACLR_L1,53.88
4,ResultsLog(1),ANT_1,LTE_ETM1_1,1325,ACLR_U1,52.49
5,ResultsLog(1),ANT_1,LTE_ETM1_1,1325,TX_MEAN_POWER,45.02
6,ResultsLog(1),ANT_1,LTE_ETM1_1,1350,ACLR_L1,54.72
7,ResultsLog(1),ANT_1,LTE_ETM1_1,1350,ACLR_U1,57.03
8,ResultsLog(1),ANT_1,LTE_ETM1_1,1350,TX_MEAN_POWER,44.91
9,ResultsLog(1),ANT_1,LTE_ETM3_1,1300,EVM,3.07
10,ResultsLog(1),ANT_1,LTE_ETM3_1,1300,CCDF 0.1%,7.45
11,ResultsLog(1),ANT_1,LTE_ETM3_1,1325,EVM,2.73
12,ResultsLog(1),ANT_1,LTE_ETM3_1,1325,CCDF 0.1%,7.59
13,ResultsLog(1),ANT_1,LTE_ETM3_1,1350,EVM,2.74
14,ResultsLog(1),ANT_1,LTE_ETM3_1,1350,CCDF 0.1%,7.60
15,ResultsLog(1),ANT_2,LTE_ETM1_1,1300,ACLR_L1,48.78
16,ResultsLog(1),ANT_2,LTE_ETM1_1,1300,ACLR_U1,43.37
17,ResultsLog(1),ANT_2,LTE_ETM1_1,1300,TX_MEAN_POWER,44.39
18,ResultsLog(1),ANT_2,LTE_ETM1_1,1325,ACLR_L1,55.48
19,ResultsLog(1),ANT_2,LTE_ETM1_1,1325,ACLR_U1,55.66
20,ResultsLog(1),ANT_2,LTE_ETM1_1,1325,TX_MEAN_POWER,44.51
21,ResultsLog(1),ANT_2,LTE_ETM1_1,1350,ACLR_L1,53.83
22,ResultsLog(1),ANT_2,LTE_ETM1_1,1350,ACLR_U1,62.13
23,ResultsLog(1),ANT_2,LTE_ETM1_1,1350,TX_MEAN_POWER,44.38
24,ResultsLog(1),ANT_2,LTE_ETM3_1,1300,EVM,2.86
25,ResultsLog(1),ANT_2,LTE_ETM3_1,1300,CCDF 0.1%,7.52
26,ResultsLog(1),ANT_2,LTE_ETM3_1,1325,EVM,2.70
27,ResultsLog(1),ANT_2,LTE_ETM3_1,1325,CCDF 0.1%,7.64
28,ResultsLog(1),ANT_2,LTE_ETM3_1,1350,EVM,2.69
29,ResultsLog(1),ANT_2,LTE_ETM3_1,1350,CCDF 0.1%,7.69
